id_aluno,ano_ref,fase,idade,defasagem,ida,ieg,iaa,ips,ipp,ipv,ian,matematica,portugues,ingles,risco_defasagem_futuro
133,2022,4,15,-1,5.6,7.1,7.9,7.5,,7.625,5.0,4.7,7.2,5.0,1
133,2023,5,16,-1,5.3,7.9,7.5,2.52,7.1875,6.505,5.0,5.0,4.3,6.7,1
134,2022,4,15,-1,4.7,6.8,8.8,7.5,,7.375,5.0,4.7,6.8,2.5,1
135,2022,4,15,-1,8.6,7.8,8.3,5.6,,8.583,5.0,8.0,8.2,9.5,1
136,2022,4,15,-1,4.6,6.3,10.0,7.5,,6.667,5.0,5.3,5.7,2.8,1
137,2022,4,17,-3,7.3,8.9,7.5,5.0,,7.792,2.5,6.0,7.3,8.5,1
137,2023,5,18,-2,6.0,6.3,7.1,2.52,6.40625,6.88,5.0,7.3,4.5,6.2,0
138,2022,4,15,-1,5.6,8.0,9.6,5.6,,6.375,5.0,5.0,6.5,5.2,1
138,2023,4,16,-2,4.3,7.9,10.0,6.26,7.34375,7.4175,5.0,4.0,3.7,5.2,0
139,2022,4,17,-3,1.4,3.5,7.1,5.0,,3.917,2.5,1.7,2.7,0.0,1
140,2022,4,14,0,5.7,7.6,7.9,6.9,,7.667,10.0,5.0,6.5,5.6,1
141,2022,4,14,0,5.7,8.2,9.2,5.6,,5.917,10.0,5.8,6.2,5.0,1
141,2023,4,15,-1,4.5,8.4,9.6,5.63,7.03125,7.0425,5.0,6.0,5.3,2.3,1
142,2022,4,14,0,6.3,8.6,6.7,5.6,,7.583,10.0,6.0,6.8,6.0,1
143,2022,4,13,1,7.9,9.9,8.3,5.6,,9.5,10.0,9.7,7.7,6.4,1
143,2023,5,14,1,6.5,9.6,8.3,2.52,8.28125,8.3375,10.0,9.2,5.0,5.2,1
144,2022,4,14,0,7.9,9.3,7.5,5.0,,8.292,10.0,7.5,7.2,9.0,1
144,2023,5,15,1,4.4,5.2,0.0,2.52,6.25,6.0,10.0,3.3,2.5,7.3,1
145,2022,4,16,-2,5.2,6.3,0.0,8.1,,7.25,5.0,3.0,4.8,7.8,1
145,2023,4,17,-3,6.2,9.0,7.9,,7.96875,7.4625,2.5,5.3,6.0,7.2,1
146,2022,4,15,-1,7.9,9.2,8.3,7.5,,8.208,5.0,6.3,7.3,10.0,0
146,2023,5,16,-1,7.9,9.5,6.2,5.0,8.4375,8.2125,5.0,7.8,5.8,10.0,1
147,2022,4,14,0,6.1,7.7,8.3,7.5,,7.25,10.0,5.8,4.8,7.7,1
147,2023,4,15,-1,4.5,7.0,0.0,5.63,6.875,7.46,5.0,5.0,6.0,2.5,0
148,2022,4,14,0,5.3,7.9,9.2,10.0,,7.708,10.0,4.7,6.3,5.0,1
149,2022,4,15,-1,5.0,6.5,9.2,7.5,,6.125,5.0,4.0,6.0,,1
149,2023,4,16,-2,4.7,4.2,8.8,2.52,7.5,7.2925,5.0,5.7,3.5,5.0,1
150,2022,4,16,-2,6.9,6.3,9.6,6.9,,7.333,5.0,5.3,6.7,8.6,1
151,2022,4,16,-2,8.3,7.5,8.8,6.9,,7.958,5.0,7.3,8.0,9.5,1
151,2023,5,17,-2,7.9,7.8,0.0,7.52,8.59375,8.1725,5.0,6.8,7.0,10.0,1
152,2022,4,16,-2,6.5,7.0,8.3,7.5,,6.292,5.0,4.0,7.0,8.5,1
152,2023,4,17,-2,4.5,7.7,7.9,2.52,7.8125,7.71,5.0,4.0,5.0,4.5,1
153,2022,4,14,0,6.6,8.2,7.9,5.0,,7.708,10.0,3.3,7.7,8.8,1
153,2023,5,15,0,6.4,7.4,9.2,2.52,8.125,7.71,10.0,6.0,5.3,8.0,1
154,2022,4,15,-1,4.0,6.1,8.3,6.3,,6.833,5.0,3.7,6.2,2.1,1
155,2022,4,16,-2,5.2,8.3,10.0,7.5,,6.833,5.0,4.3,6.8,4.3,1
155,2023,5,17,-2,4.4,8.1,7.9,5.0,7.03125,6.5875,5.0,5.3,2.8,5.2,1
156,2022,4,15,-1,4.4,8.3,10.0,9.4,,7.792,5.0,4.7,6.5,2.1,1
157,2022,4,12,1,7.7,10.0,7.5,6.3,,8.292,10.0,7.0,7.5,8.7,1
157,2023,5,13,2,6.8,9.9,7.1,2.52,8.59375,8.63,10.0,6.0,6.8,7.5,1
158,2022,4,17,-3,6.6,9.8,7.9,5.6,,8.125,2.5,5.0,6.7,8.1,1
158,2023,5,14,1,6.0,9.0,7.1,2.52,8.28125,7.545,10.0,6.0,5.7,6.3,1
159,2022,4,15,-1,4.7,8.1,8.3,5.6,,6.458,5.0,4.3,5.8,3.9,1
159,2023,4,16,-2,6.3,8.1,7.9,2.52,8.125,7.8775,5.0,5.0,6.0,7.8,1
160,2022,4,15,-1,5.3,7.2,7.5,5.6,,8.25,5.0,2.7,6.0,7.1,1
160,2023,5,16,-1,5.0,8.3,8.8,2.52,8.125,7.46,5.0,3.3,3.8,8.0,1
161,2022,4,11,2,6.9,9.1,7.9,5.6,,8.083,10.0,5.3,6.8,8.5,1
161,2023,5,14,1,5.8,7.3,0.0,2.52,8.125,7.795,10.0,7.0,4.5,6.0,1
162,2022,4,14,0,5.5,8.5,6.7,7.5,,6.542,10.0,4.7,5.5,6.4,1
163,2022,4,15,-1,6.7,7.9,8.8,5.6,,6.5,5.0,6.5,6.3,7.4,1
164,2022,4,16,-2,6.5,7.3,8.3,5.6,,7.208,5.0,4.7,6.5,8.3,1
164,2023,5,17,-1,5.8,8.2,0.0,2.52,6.875,6.9625,5.0,6.0,4.2,7.3,1
165,2022,4,14,0,7.6,9.8,7.1,5.6,,7.5,10.0,5.3,7.8,9.7,1
165,2023,5,15,0,7.3,9.2,6.7,2.52,8.125,7.795,10.0,7.3,6.2,8.3,0
166,2022,4,14,0,8.1,9.0,9.2,6.3,,7.542,10.0,7.0,7.2,10.0,1
